,experiment,instance,option,batch,dist_plm,dist_ple
0,force2vec-RW,com-Youtube,10,1024,16871296.12371411,13784723.361256303
1,force2vec-RW,com-Youtube,15,1024,15154601.725499282,12380060.123694377
2,force2vec-RW,com-Youtube,2,1024,16922000.534097195,13842772.115725834
3,force2vec-RW,com-Youtube,5,1024,17961949.830494825,14683337.571004461
4,force2vec-RW,com-Youtube,10,131072,16313576.735740578,13328385.922748107
5,force2vec-RW,com-Youtube,15,131072,14573844.60825822,11904134.38917543
6,force2vec-RW,com-Youtube,2,131072,16078886.523522934,13158359.974335406
7,force2vec-RW,com-Youtube,5,131072,17281632.311931442,14131564.51351521
8,force2vec-RW,com-Youtube,10,16384,16587511.531607252,13550232.41442522
9,force2vec-RW,com-Youtube,15,16384,14806769.051377825,12094239.424006058
10,force2vec-RW,com-Youtube,2,16384,16420151.68660496,13432485.794093542
11,force2vec-RW,com-Youtube,5,16384,17599263.7323337,14386545.485174483
12,force2vec-RW,com-Youtube,10,2048,16802161.32621553,13726266.90752728
13,force2vec-RW,com-Youtube,15,2048,15081168.292002162,12317105.547519192
14,force2vec-RW,com-Youtube,2,2048,16789981.309500426,13732983.368116254
15,force2vec-RW,com-Youtube,5,2048,17867640.794239167,14605864.237414641
16,force2vec-RW,com-Youtube,10,256,16936992.673453595,13841249.725790292
17,force2vec-RW,com-Youtube,15,256,15237391.726967067,12453718.408718238
18,force2vec-RW,com-Youtube,2,256,17076245.03385071,13972545.407060707
19,force2vec-RW,com-Youtube,5,256,18073716.841986537,14779576.90952973
20,force2vec-RW,com-Youtube,10,262144,16132321.189594174,13180869.143302735
21,force2vec-RW,com-Youtube,15,262144,14453792.522821631,11807244.276667379
22,force2vec-RW,com-Youtube,2,262144,15952587.564587545,13053330.383583594
23,force2vec-RW,com-Youtube,5,262144,17135676.56488913,14009346.367166996
24,force2vec-RW,com-Youtube,10,32768,16541112.617111238,13515583.92323242
25,force2vec-RW,com-Youtube,15,32768,14745230.96809146,12046236.895884061
26,force2vec-RW,com-Youtube,2,32768,16306291.08735002,13340119.101679115
27,force2vec-RW,com-Youtube,5,32768,17541193.172610022,14340781.970001766
28,force2vec-RW,com-Youtube,10,4096,16718968.580660708,13655469.93095137
29,force2vec-RW,com-Youtube,15,4096,15001181.957927823,12251343.133593583
30,force2vec-RW,com-Youtube,2,4096,16668712.407453595,13632986.213361291
31,force2vec-RW,com-Youtube,5,4096,17802723.959151354,14548583.182015317
32,force2vec-RW,com-Youtube,10,512,16929084.472773694,13834841.952890418
33,force2vec-RW,com-Youtube,15,512,15209216.481097216,12425124.920907294
34,force2vec-RW,com-Youtube,2,512,16994988.438341565,13903428.672906186
35,force2vec-RW,com-Youtube,5,512,18024481.284645326,14734510.212923354
36,force2vec-RW,com-Youtube,10,65536,16418382.752107793,13414796.546391355
37,force2vec-RW,com-Youtube,15,65536,14644520.16979428,11962906.335800676
38,force2vec-RW,com-Youtube,2,65536,16172298.246767886,13231907.444379125
39,force2vec-RW,com-Youtube,5,65536,17411194.44753556,14234574.127611833
40,force2vec-RW,com-Youtube,10,8192,16657265.772049304,13607621.569092283
41,force2vec-RW,com-Youtube,15,8192,14905300.209044436,12171348.414867202
42,force2vec-RW,com-Youtube,2,8192,16524075.359604316,13514573.858614296
43,force2vec-RW,com-Youtube,5,8192,17676807.644098718,14446339.144830761
